offline_datapoint_2 1619213661 461,147
offline_datapoint_14 1619213661 2,138
offline_datapoint_3 1619213661 22,340
offline_datapoint_26 1619213661 91,777
offline_datapoint_15 1619213661 4,001
offline_datapoint_8 1619213661 11615,522
offline_datapoint_20 1619213661 0,021
offline_datapoint_27 1619213666 682278,000
offline_datapoint_21 1619213666 3263,000
offline_datapoint_12 1619213666 585740288,000
offline_datapoint_0 1619213666 360013824,000
offline_datapoint_19 1619213666 8308080640,000
offline_datapoint_25 1619213666 391639040,000
offline_datapoint_11 1619213666 2820,000
offline_datapoint_5 1619213664 0,333
offline_datapoint_24 1619213664 5392,060
offline_datapoint_7 1619213666 391639040,000
offline_datapoint_17 1619213664 0,333
offline_datapoint_6 1619213666 5771153408,000
offline_datapoint_23 1619213666 7388372992,000
offline_datapoint_22 1619213664 0,260
offline_datapoint_28 1619213664 13,925
offline_datapoint_10 1619213664 6,120
offline_datapoint_29 1619213664 5014,769
offline_datapoint_4 1619213666 0,000
offline_datapoint_16 1619213664 7936,106
offline_datapoint_2 1619213664 1316,852
offline_datapoint_14 1619213664 0,790
offline_datapoint_3 1619213664 15,665
offline_datapoint_26 1619213664 92,699
offline_datapoint_15 1619213664 1,333
offline_datapoint_8 1619213664 14815,319
offline_datapoint_20 1619213664 0,008
offline_datapoint_27 1619213669 682278,000
offline_datapoint_21 1619213669 3275,000
offline_datapoint_12 1619213669 585080832,000
offline_datapoint_0 1619213669 360038400,000
offline_datapoint_19 1619213669 8327311360,000
offline_datapoint_25 1619213669 390119424,000
offline_datapoint_11 1619213669 2822,000
offline_datapoint_5 1619213667 1,000
offline_datapoint_24 1619213667 6376,424
offline_datapoint_7 1619213669 390119424,000
offline_datapoint_17 1619213667 1,000
offline_datapoint_6 1619213669 5789753344,000
offline_datapoint_23 1619213669 7400026112,000
offline_datapoint_22 1619213667 0,391
offline_datapoint_28 1619213667 13,817
offline_datapoint_10 1619213667 5,338
offline_datapoint_29 1619213667 5554,208
offline_datapoint_4 1619213669 0,000
