1050 1619225823 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225822 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225821 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225820 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225784 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225783 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225782 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225781 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225780 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225824 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225823 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225822 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225821 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225820 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225784 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225783 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225782 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225781 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225780 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225824 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225823 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225822 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225821 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225820 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225784 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225783 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225782 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225781 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225780 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225780 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225781 0,200000 -1,000000 -101,000000 0,000000 0,000000
