offline_datapoint_13 1619224135 10620,602
offline_datapoint_25 1619224135 0,083
offline_datapoint_2 1619224140 680542,000
offline_datapoint_26 1619224140 2905,000
offline_datapoint_17 1619224140 570499072,000
offline_datapoint_5 1619224140 354279424,000
offline_datapoint_24 1619224140 6451695616,000
offline_datapoint_0 1619224140 330043392,000
offline_datapoint_16 1619224140 3663,000
offline_datapoint_10 1619224138 1,001
offline_datapoint_29 1619224138 10117,968
offline_datapoint_12 1619224140 330043392,000
offline_datapoint_22 1619224138 1,001
offline_datapoint_11 1619224140 4460867584,000
offline_datapoint_28 1619224140 5758201856,000
offline_datapoint_27 1619224138 0,391
offline_datapoint_3 1619224138 12,142
offline_datapoint_15 1619224138 6,778
offline_datapoint_4 1619224138 4179,037
offline_datapoint_9 1619224140 0,000
offline_datapoint_21 1619224138 5299,030
offline_datapoint_7 1619224138 5484,861
offline_datapoint_19 1619224138 14,356
offline_datapoint_8 1619224138 134,786
offline_datapoint_1 1619224138 24,460
offline_datapoint_20 1619224138 4,337
offline_datapoint_13 1619224138 7502,574
offline_datapoint_25 1619224138 0,144
offline_datapoint_2 1619224143 680542,000
offline_datapoint_26 1619224143 2903,000
offline_datapoint_17 1619224143 570499072,000
offline_datapoint_5 1619224143 354279424,000
offline_datapoint_24 1619224143 6449844224,000
offline_datapoint_0 1619224143 328994816,000
offline_datapoint_16 1619224143 3656,000
offline_datapoint_10 1619224141 0,333
offline_datapoint_29 1619224141 3201,185
offline_datapoint_12 1619224143 328994816,000
offline_datapoint_22 1619224141 0,333
offline_datapoint_11 1619224143 4459327488,000
offline_datapoint_28 1619224143 5758713856,000
offline_datapoint_27 1619224141 0,000
offline_datapoint_3 1619224141 5,771
offline_datapoint_15 1619224141 2,989
offline_datapoint_4 1619224141 3514,283
offline_datapoint_9 1619224143 0,000
offline_datapoint_21 1619224141 4853,849
offline_datapoint_7 1619224141 2572,327
offline_datapoint_19 1619224141 1,566
offline_datapoint_8 1619224141 37,598
offline_datapoint_1 1619224141 71,637
offline_datapoint_20 1619224141 0,998
offline_datapoint_13 1619224141 6959,575
offline_datapoint_25 1619224141 0,016
offline_datapoint_2 1619224146 680542,000
offline_datapoint_26 1619224146 2907,000
offline_datapoint_17 1619224146 570499072,000
offline_datapoint_5 1619224146 354279424,000
offline_datapoint_24 1619224146 6441316352,000
offline_datapoint_0 1619224146 328908800,000
offline_datapoint_16 1619224146 3655,000
offline_datapoint_10 1619224144 0,000
offline_datapoint_29 1619224144 170,370
offline_datapoint_12 1619224146 328908800,000
offline_datapoint_22 1619224144 0,000
offline_datapoint_11 1619224146 4450078720,000
offline_datapoint_28 1619224146 5756563456,000
offline_datapoint_27 1619224144 0,000
offline_datapoint_3 1619224144 5,594
offline_datapoint_15 1619224144 3,386
offline_datapoint_4 1619224144 3298,372
offline_datapoint_9 1619224146 0,000
offline_datapoint_21 1619224144 4750,016
offline_datapoint_7 1619224144 317,735
offline_datapoint_19 1619224144 0,460
offline_datapoint_8 1619224144 7,668
offline_datapoint_1 1619224144 94,716
offline_datapoint_20 1619224144 0,667
offline_datapoint_13 1619224144 7123,478
offline_datapoint_25 1619224144 0,005
offline_datapoint_2 1619224149 680542,000
offline_datapoint_26 1619224149 2903,000
offline_datapoint_17 1619224149 570499072,000
offline_datapoint_5 1619224149 354377728,000
offline_datapoint_24 1619224149 6441058304,000
offline_datapoint_0 1619224149 328572928,000
offline_datapoint_16 1619224149 3655,000
offline_datapoint_10 1619224147 0,000
offline_datapoint_29 1619224147 65,998
offline_datapoint_12 1619224149 328572928,000
offline_datapoint_22 1619224147 0,000
offline_datapoint_11 1619224149 4449861632,000
offline_datapoint_28 1619224149 5756428288,000
offline_datapoint_27 1619224147 0,000
offline_datapoint_3 1619224147 7,664
offline_datapoint_15 1619224147 3,907
offline_datapoint_4 1619224147 3268,215
offline_datapoint_9 1619224149 0,000
offline_datapoint_21 1619224147 4774,494
offline_datapoint_7 1619224147 308,656
offline_datapoint_19 1619224147 0,620
offline_datapoint_8 1619224147 4,333
offline_datapoint_1 1619224147 95,692
offline_datapoint_20 1619224147 0,333
offline_datapoint_13 1619224147 12603,077
offline_datapoint_25 1619224147 0,006
offline_datapoint_2 1619224152 680542,000
offline_datapoint_26 1619224152 2919,000
offline_datapoint_17 1619224152 570499072,000
offline_datapoint_5 1619224152 354414592,000
offline_datapoint_24 1619224152 6459564032,000
offline_datapoint_0 1619224152 328814592,000
offline_datapoint_16 1619224152 3656,000
offline_datapoint_10 1619224150 0,668
offline_datapoint_29 1619224150 5194,864
offline_datapoint_12 1619224152 328814592,000
offline_datapoint_22 1619224150 0,668
offline_datapoint_11 1619224152 4468412416,000
offline_datapoint_28 1619224152 5767286784,000
offline_datapoint_27 1619224150 0,261
